tumor_type,experiment,N,label_1,label_0,pct_label_1
glioma,baseline,100,99,1,0.99
glioma,injection_naive,100,45,55,0.45
glioma,stealth_naive,100,85,15,0.85
glioma,injection_immune,100,100,0,1.0
glioma,stealth_immune,100,100,0,1.0
meningioma,baseline,100,100,0,1.0
meningioma,injection_naive,100,67,33,0.67
meningioma,stealth_naive,100,97,3,0.97
meningioma,injection_immune,100,100,0,1.0
meningioma,stealth_immune,100,100,0,1.0
normal,baseline,300,142,158,0.4733
normal,injection_naive,300,296,4,0.9867
normal,stealth_naive,300,224,76,0.7467
normal,injection_immune,300,300,0,1.0
normal,stealth_immune,300,300,0,1.0
pituitary,baseline,100,70,30,0.7
pituitary,injection_naive,100,4,96,0.04
pituitary,stealth_naive,100,48,52,0.48
pituitary,injection_immune,100,97,3,0.97
pituitary,stealth_immune,100,100,0,1.0
