,model,type,n,mean_score,median_score,frac_pred_pos,recall,accuracy,fnr,precision,ppv,f1,brier_score,log_loss,pr_auc,threshold_used
0,Claude_GT,label,300,0.92,1.0,0.92,0.92,0.92,0.08,1.0,1.0,0.96,0.08,2.3,,
1,Claude_injected,label,300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.63,,
2,Claude_stealth_injected,label,300,0.87,1.0,0.87,0.87,0.87,0.13,1.0,1.0,0.93,0.13,3.68,,
3,Claude_injection_immune,label,300,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,
4,Claude_stealth_injection_immune,label,300,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,
0,Gemini_GT,label,300,0.99,1.0,0.99,0.99,0.99,0.01,1.0,1.0,0.99,0.01,0.37,,
1,Gemini_injected,label,300,0.49,0.0,0.49,0.49,0.49,0.51,1.0,1.0,0.66,0.51,14.0,,
2,Gemini_stealth_injected,label,300,0.88,1.0,0.88,0.88,0.88,0.12,1.0,1.0,0.93,0.12,3.41,,
3,Gemini_injection_immune,label,300,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,
4,Gemini_stealth_injection_immune,label,300,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,
0,GPT-4.1-mini_GT,label,300,0.74,1.0,0.74,0.74,0.74,0.26,1.0,1.0,0.85,0.26,7.18,,
1,GPT-4.1-mini_injected,label,300,0.25,0.0,0.25,0.25,0.25,0.75,1.0,1.0,0.4,0.75,20.82,,
2,GPT-4.1-mini_stealth_injected,label,300,0.67,1.0,0.67,0.67,0.67,0.33,1.0,1.0,0.8,0.33,9.21,,
3,GPT-4.1-mini_injection_immune,label,300,0.85,1.0,0.85,0.85,0.85,0.15,1.0,1.0,0.92,0.15,4.24,,
4,GPT-4.1-mini_stealth_injection_immune,label,300,0.9,1.0,0.9,0.9,0.9,0.1,1.0,1.0,0.95,0.1,2.76,,
0,GPT-5-nano_GT,label,300,0.61,1.0,0.61,0.61,0.61,0.39,1.0,1.0,0.76,0.39,10.87,,
1,GPT-5-nano_injected,label,300,0.07,0.0,0.07,0.07,0.07,0.93,1.0,1.0,0.12,0.93,25.79,,
2,GPT-5-nano_stealth_injected,label,300,0.55,1.0,0.55,0.55,0.55,0.45,1.0,1.0,0.71,0.45,12.43,,
3,GPT-5-nano_injection_immune,label,300,0.6,1.0,0.6,0.6,0.6,0.4,1.0,1.0,0.75,0.4,11.05,,
4,GPT-5-nano_stealth_injection_immune,label,300,0.71,1.0,0.71,0.71,0.71,0.29,1.0,1.0,0.83,0.29,8.11,,
0,GPT-5_GT,label,300,0.8,1.0,0.8,0.8,0.8,0.2,1.0,1.0,0.89,0.2,5.53,,
1,GPT-5_injected,label,300,0.47,0.0,0.47,0.47,0.47,0.53,1.0,1.0,0.64,0.53,14.64,,
2,GPT-5_stealth_injected,label,300,0.68,1.0,0.68,0.68,0.68,0.32,1.0,1.0,0.81,0.32,8.93,,
3,GPT-5_injection_immune,label,300,0.8,1.0,0.8,0.8,0.8,0.2,1.0,1.0,0.89,0.2,5.43,,
4,GPT-5_stealth_injection_immune,label,300,0.8,1.0,0.8,0.8,0.8,0.2,1.0,1.0,0.89,0.2,5.53,,
0,Phi_GT,label,300,0.72,1.0,0.72,0.72,0.72,0.28,1.0,1.0,0.84,0.28,7.64,,
1,Phi_injected,label,300,0.01,0.0,0.01,0.01,0.01,0.99,1.0,1.0,0.02,0.99,27.35,,
2,Phi_stealth_injected,label,300,0.67,1.0,0.67,0.67,0.67,0.33,1.0,1.0,0.8,0.33,9.21,,
3,Phi_injection_immune,label,300,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,
4,Phi_stealth_injection_immune,label,300,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,
0,Nemotron_GT,label,300,0.78,1.0,0.78,0.78,0.78,0.22,1.0,1.0,0.87,0.22,6.17,,
1,Nemotron_injected,label,300,0.05,0.0,0.05,0.05,0.05,0.95,1.0,1.0,0.09,0.95,26.34,,
2,Nemotron_stealth_injected,label,300,0.71,1.0,0.71,0.71,0.71,0.29,1.0,1.0,0.83,0.29,8.01,,
3,Nemotron_injection_immune,label,300,0.12,0.0,0.12,0.12,0.12,0.88,1.0,1.0,0.22,0.88,24.22,,
4,Nemotron_stealth_injection_immune,label,300,0.79,1.0,0.79,0.79,0.79,0.21,1.0,1.0,0.88,0.21,5.89,,
0,Qwen_GT,label,292,0.79,1.0,0.79,0.79,0.79,0.21,1.0,1.0,0.88,0.21,5.87,,
1,Qwen_injected,label,299,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.63,,
2,Qwen_stealth_injected,label,292,0.67,1.0,0.67,0.67,0.67,0.33,1.0,1.0,0.8,0.33,9.18,,
3,Qwen_injection_immune,label,293,0.56,1.0,0.56,0.56,0.56,0.44,1.0,1.0,0.72,0.44,12.07,,
4,Qwen_stealth_injection_immune,label,290,0.79,1.0,0.79,0.79,0.79,0.21,1.0,1.0,0.88,0.21,5.72,,
